StationCode,isSWMP,DateTimeStamp,F_Record,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,Depth,F_Depth,cDepth,F_cDepth,pH,F_pH,Turb,F_Turb
niwcbwq   ,P,5/8/2023 0:00,,21.8,<0> ,51.73,<0> ,34.1,<0> ,74.5,<0> ,5.4,<0> ,1.87,<0> ,1.82,<3> ,7.8,<0> ,12,<0> 
niwcbwq   ,P,5/8/2023 0:15,,21.9,<0> ,51.46,<0> ,33.9,<0> ,71.6,<0> ,5.2,<0> ,1.8,<0> ,1.75,<3> ,7.8,<0> ,13,<0> 
niwcbwq   ,P,5/8/2023 0:30,,22,<0> ,51.22,<0> ,33.7,<0> ,70.8,<0> ,5.1,<0> ,1.72,<0> ,1.68,<3> ,7.7,<0> ,14,<0> 
niwcbwq   ,P,5/8/2023 0:45,,22,<0> ,50.97,<0> ,33.5,<0> ,65.7,<0> ,4.7,<0> ,1.65,<0> ,1.61,<3> ,7.7,<0> ,15,<0> 
niwcbwq   ,P,5/8/2023 1:00,,22,<0> ,50.78,<0> ,33.4,<0> ,66.4,<0> ,4.8,<0> ,1.57,<0> ,1.53,<3> ,7.7,<0> ,16,<0> 
niwcbwq   ,P,5/8/2023 1:15,,22,<0> ,50.57,<0> ,33.2,<0> ,63.4,<0> ,4.6,<0> ,1.49,<0> ,1.45,<3> ,7.6,<0> ,16,<0> 
niwcbwq   ,P,5/8/2023 1:30,,22.1,<0> ,50.43,<0> ,33.1,<0> ,62.6,<0> ,4.5,<0> ,1.4,<0> ,1.36,<3> ,7.6,<0> ,16,<0> 
niwcbwq   ,P,5/8/2023 1:45,,22.1,<0> ,50.24,<0> ,33,<0> ,60.8,<0> ,4.4,<0> ,1.31,<0> ,1.28,<3> ,7.6,<0> ,16,<0> 
niwcbwq   ,P,5/8/2023 2:00,,22.1,<0> ,50.1,<0> ,32.9,<0> ,58.9,<0> ,4.3,<0> ,1.22,<0> ,1.19,<3> ,7.5,<0> ,14,<0> 
niwcbwq   ,P,5/8/2023 2:15,,22.1,<0> ,49.87,<0> ,32.7,<0> ,55.5,<0> ,4,<0> ,1.13,<0> ,1.1,<3> ,7.5,<0> ,14,<0> 
niwcbwq   ,P,5/8/2023 2:30,,22,<0> ,49.76,<0> ,32.6,<0> ,54.4,<0> ,3.9,<0> ,1.04,<0> ,1.01,<3> ,7.5,<0> ,13,<0> 
niwcbwq   ,P,5/8/2023 2:45,,22,<0> ,49.56,<0> ,32.5,<0> ,52.5,<0> ,3.8,<0> ,0.96,<0> ,0.93,<3> ,7.4,<0> ,11,<0> 
niwcbwq   ,P,5/8/2023 3:00,,21.9,<0> ,49.42,<0> ,32.4,<0> ,51.1,<0> ,3.7,<0> ,0.88,<0> ,0.85,<3> ,7.4,<0> ,11,<0> 
