StationCode,isSWMP,DateTimeStamp,F_Record,ATemp,F_ATemp,RH,F_RH,BP,F_BP,WSpd,F_WSpd,MaxWSpd,Wdir,F_Wdir,SDWDir,F_SDWDir,TotPAR,F_TotPAR,TotPrcp,F_TotPrcp,TotSoRad,F_TotSoRad,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,Depth,F_Depth,cDepth,F_cDepth,pH,F_pH,Turb,F_Turb,ChlFluor,F_ChlFluor
niwcbwq   ,P,5/8/2023 0:00,,,,,,,,,,,,,,,,,,,,,21.8,<0> ,51.73,<0> ,34.1,<0> ,74.5,<0> ,5.4,<0> ,1.87,<0> ,1.82,<3> ,7.8,<0> ,12,<0> ,,<-1> 
niwolmet  ,P,5/8/2023 0:00,,20.9,<0> ,74,<0> ,1018,<0> ,4.5,<0> ,6.7,238,<0> ,8,<0> ,0,<0> ,0,<0> ,0,<0> ,,,,,,,,,,,,,,,,,,,,
niwcbwq   ,P,5/8/2023 0:15,,,,,,,,,,,,,,,,,,,,,21.9,<0> ,51.46,<0> ,33.9,<0> ,71.6,<0> ,5.2,<0> ,1.8,<0> ,1.75,<3> ,7.8,<0> ,13,<0> ,,<-1> 
niwolmet  ,P,5/8/2023 0:15,,20.8,<0> ,74,<0> ,1018,<0> ,4.9,<0> ,8.5,240,<0> ,8,<0> ,0,<0> ,0,<0> ,0,<0> ,,,,,,,,,,,,,,,,,,,,
niwcbwq   ,P,5/8/2023 0:30,,,,,,,,,,,,,,,,,,,,,22,<0> ,51.22,<0> ,33.7,<0> ,70.8,<0> ,5.1,<0> ,1.72,<0> ,1.68,<3> ,7.7,<0> ,14,<0> ,,<-1> 
niwolmet  ,P,5/8/2023 0:30,,20.9,<0> ,73,<0> ,1017,<0> ,5.6,<0> ,7.4,236,<0> ,9,<0> ,0,<0> ,0,<0> ,0,<0> ,,,,,,,,,,,,,,,,,,,,
niwcbwq   ,P,5/8/2023 0:45,,,,,,,,,,,,,,,,,,,,,22,<0> ,50.97,<0> ,33.5,<0> ,65.7,<0> ,4.7,<0> ,1.65,<0> ,1.61,<3> ,7.7,<0> ,15,<0> ,,<-1> 
niwolmet  ,P,5/8/2023 0:45,,20.8,<0> ,73,<0> ,1017,<0> ,5.2,<0> ,7.6,236,<0> ,10,<0> ,0,<0> ,0,<0> ,0,<0> ,,,,,,,,,,,,,,,,,,,,
niwcbwq   ,P,5/8/2023 1:00,,,,,,,,,,,,,,,,,,,,,22,<0> ,50.78,<0> ,33.4,<0> ,66.4,<0> ,4.8,<0> ,1.57,<0> ,1.53,<3> ,7.7,<0> ,16,<0> ,,<-1> 
niwolmet  ,P,5/8/2023 1:00,,20.7,<0> ,73,<0> ,1017,<0> ,4.9,<0> ,7.2,237,<0> ,9,<0> ,0,<0> ,0,<0> ,0,<0> ,,,,,,,,,,,,,,,,,,,,
